method,time.d,id,substrate,bmp
grav,31.1,L1,Cellulose,363.18476237712
grav,31.1,L3,Cellulose,360.133479412245
grav,31.1,E1,Ethanol,725.727231805441
grav,31.1,E2,Ethanol,712.901514881458
grav,31.1,E3,Ethanol,762.27316720294
grav,31.1,A1,A,376.450829328207
grav,31.1,A2,A,382.821233100103
grav,31.1,A3,A,376.956352657365
grav,31.1,B1,B,375.047235426701
grav,31.1,B2,B,381.17037360616
grav,31.1,B3,B,386.274366014264
grav,31.1,C1,C,524.297930003121
grav,31.1,C2,C,521.225486123194
grav,31.1,C3,C,518.982685040335
gdt,31.1,L1,Cellulose,371.800081285044
gdt,31.1,L3,Cellulose,400.915135751805
gdt,31.1,E1,Ethanol,620.451663214008
gdt,31.1,E2,Ethanol,708.384751861344
gdt,31.1,E3,Ethanol,662.881900769657
gdt,31.1,A1,A,378.266863168001
gdt,31.1,A2,A,384.389644047137
gdt,31.1,A3,A,361.879949435148
gdt,31.1,B1,B,400.756144624126
gdt,31.1,B2,B,380.899414289216
gdt,31.1,B3,B,310.719946580526
gdt,31.1,C1,C,434.838606542418
gdt,31.1,C2,C,520.393818798222
gdt,31.1,C3,C,533.369597280648
