dis_id,sch_id,stud_nm,sex,ethnic,reading,math,sch_size,sch_ses,dis_size,dis_ses,locale,ethnic1
"30,011.00","1,010","60,927",2,1,23.00,17.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,928",1,1,17.00,47.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,929",2,1,57.00,29.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,930",2,1,72.00,61.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,931",1,1,21.00,32.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,932",1,1,16.00,1.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,933",2,5,15.00,16.00,0.78,-4.72,0.11,7.27,6,1.00
"30,011.00","1,010","60,934",#NULL!,1,43.00,33.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,935",1,1,44.00,60.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,936",1,1,33.00,50.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,937",2,1,60.00,51.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,938",2,1,38.00,37.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,939",1,#NULL!,99.00,91.00,0.78,-4.72,0.11,7.27,6,#NULL!
"30,011.00","1,010","60,940",2,#NULL!,45.00,44.00,0.78,-4.72,0.11,7.27,6,#NULL!
"30,011.00","1,010","60,941",1,1,22.00,44.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,942",2,1,63.00,37.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,943",2,1,28.00,20.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,944",2,1,56.00,61.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,945",1,1,21.00,47.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,946",2,1,62.00,58.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,947",2,1,60.00,50.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,948",2,1,57.00,54.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,949",1,1,56.00,43.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,950",1,1,70.00,68.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,951",2,1,65.00,60.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,952",1,1,40.00,48.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,953",2,1,57.00,39.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,954",1,1,47.00,45.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,955",1,1,43.00,86.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,956",2,1,69.00,57.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,957",2,1,46.00,44.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,958",2,1,62.00,38.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,959",2,1,37.00,32.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,960",1,1,53.00,54.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,961",2,1,76.00,56.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,962",1,1,21.00,39.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,963",2,1,55.00,67.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,964",2,1,57.00,43.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,965",1,1,46.00,38.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,966",2,#NULL!,47.00,30.00,0.78,-4.72,0.11,7.27,6,#NULL!
"30,011.00","1,010","60,967",1,1,38.00,30.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,968",1,1,51.00,63.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,969",2,1,63.00,70.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,970",2,#NULL!,60.00,17.00,0.78,-4.72,0.11,7.27,6,#NULL!
"30,011.00","1,010","60,971",1,1,26.00,47.00,0.78,-4.72,0.11,7.27,6,0.00
"30,011.00","1,010","60,972",1,2,37.00,34.00,0.78,-4.72,0.11,7.27,6,1.00
