Bottle ID,Date and time,Pressure (mbar),Methane (%),CO2(%),Initial mass (g),Final mass (g),Time (d),xCH4
id,date.time,pres,c.CH4,c.CO2,m.init,m.final,time.d,xCH4
1,1/23/2018 16:10,0,0,0,,187.41675,0.000,
1,1/24/2018 7:13,368,10.1,10.04,187.4149,187.3814,0.627,0.501
1,1/25/2018 6:38,286,22.53,16.1,187.3823,187.3568,1.603,0.583
1,1/25/2018 16:06,134,24.85,18,187.3538,187.3447,1.997,0.580
1,1/26/2018 9:20,142,32.46,20.62,187.3406,187.3287,2.715,0.612
1,1/27/2018 7:00,168,36.74,22.22,187.3295,187.315,3.618,0.623
1,1/28/2018 9:18,145,41.3,23.23,187.3158,187.3038,4.714,0.640
1,1/29/2018 6:58,142,44.42,24.26,187.3025,187.2938,5.617,0.647
1,1/31/2018 7:46,192,47.5,24.75,187.2949,187.2792,7.650,0.657
1,2/2/2018 7:10,173,50.64,26.06,187.2751,187.2614,9.625,0.660
1,2/5/2018 7:40,204,53.88,27.07,187.2599,187.2441,12.646,0.666
1,2/8/2018 8:03,160,56.82,27.72,187.2451,187.2339,15.662,0.672
1,2/12/2018 7:40,218,56.05,27.14,187.2347,187.2171,19.646,0.674
1,2/16/2018 16:52,196,59.1,28.94,187.2113,187.1971,24.029,0.671
1,2/22/2018 6:45,194,60.52,29.68,187.1973,187.1816,29.608,0.671
1,3/5/2018 7:55,306,61.17,28.88,187.1812,187.1565,40.656,0.679
1,3/26/2018 15:20,398,62.45,28.66,187.1525,187.1214,61.965,0.685
1,4/17/2018 8:04,316,64.49,31.26,187.1159,187.0899,83.662,0.674
2,1/23/2018 16:10,0,0,0,,184.3076,0.000,
2,1/24/2018 7:13,368,9.68,10.07,184.3063,184.2736,0.627,0.490
2,1/25/2018 6:38,278,22.43,15.86,184.2743,184.2518,1.603,0.586
2,1/25/2018 16:06,143,25.98,18.12,184.2471,184.2347,1.997,0.589
2,1/26/2018 9:20,143,31.77,20.13,184.2328,184.2203,2.715,0.612
2,1/27/2018 7:00,164,38,22.17,184.2208,184.2074,3.618,0.632
2,1/28/2018 9:18,156,41.15,23.07,184.2078,184.1943,4.714,0.641
2,1/29/2018 6:58,138,44.72,24.39,184.1956,184.1844,5.617,0.647
2,1/31/2018 7:46,198,48.28,25.02,184.1864,184.1705,7.650,0.659
