tortoise,width,height,pads,understory
0,2.5,4.5,87,10
0,2.5,7.5,41,10
0,1.8,6,10,20
0,3.8,5,33,30
0,2.5,5.5,105,90
0,1.5,6.5,40,70
0,2.5,7,45,70
0,2.2,5.5,50,90
0,1.4,5,50,50
0,1.8,5.1,30,10
0,3.5,4.5,75,80
0,3.5,0.6,115,10
0,1.5,5,34,90
0,1.4,5.5,40,20
0,1.7,6.5,41,95
0,2.7,6.2,80,50
0,1.5,4,36,50
0,3,3.5,74,95
0,1.5,5,31,60
0,2,5.5,75,70
0,4,6.5,140,30
0,1.5,3.5,26,60
0,2.1,4.2,40,70
0,1.5,3.6,38,30
0,2,3.7,56,70
0,1.2,3.5,35,2
0,1.2,3.5,31,5
0,2,6.5,80,30
0,2.5,5,45,5
0,1,2.3,18,20
0,3,4.4,120,90
0,1.5,5.5,32,80
0,3,6,154,95
0,2.2,3,75,98
0,1,3.2,39,95
0,4,7,150,85
0,3.8,5,90,95
0,2,4.6,60,60
0,1.1,2.2,25,20
0,2.8,4,95,55
0,2,4.2,47,40
1,1.75,2.2,50,90
1,1.8,4.5,61,80
1,3,3.5,31,65
1,1.8,2.7,24,90
1,2,4.5,32,45
1,3,5.5,70,100
1,2.5,6.1,34,90
1,2.1,6.2,45,50
1,2.5,6.3,35,79
1,1.9,8.1,70,75
1,2.5,4.2,60,100
1,1.5,4.1,24,80
1,2.8,7.5,28,90
1,2.2,6.2,30,80
1,2,5.6,53,90
1,2.8,6.5,45,95
1,2.3,3,35,60
1,2.4,6.2,26,60
1,2.1,5.5,45,70
1,2,6.5,108,90
1,2.8,6.5,55,50
1,2,4.5,50,80
1,1.2,3.5,40,90
1,4,8,85,80
1,2,3.5,83,95
1,1.8,7.6,70,70
1,0.8,2.3,35,40
1,1.2,3.1,24,90
1,3.2,4.5,80,95
1,0.8,2.3,7,70
1,1.2,2.5,25,40
1,0.5,3,16,40
1,1.8,3,55,40
1,1.6,3,64,90
1,0.4,2.3,13,70
1,2.1,2.2,59,90
1,1.8,4.5,85,10
1,2.3,4.1,85,90
1,1.7,3,40,70
1,1.8,4.2,36,100
1,2.5,5.2,80,90
1,1,3,28,30
1,1.8,8.5,80,5
1,1,7.5,0,10
1,1.3,6.5,50,30
1,1.7,5,21,100
1,1.2,6,35,100
1,2.5,4.2,50,70
1,2.8,5,75,20
1,2.5,8,50,70
1,2.8,4.2,51,100
1,1.5,4.2,35,80
1,2.8,2,36,90
1,2.8,5.8,35,90
1,1.3,3.6,40,100
1,1.8,3.2,50,100
1,1.4,2.7,12,100
1,1,3.7,20,90
1,2,8,40,80
1,3.5,8,85,100
1,1.2,4.5,20,90
1,2,4.5,35,80
1,0.8,3.6,16,90
1,2.2,4.5,75,80
1,2,4.5,35,80
1,1.8,4,45,90
1,2.8,6,65,100
1,4,7,60,100
1,2,5,60,100
1,3.2,2,40,70
1,2.1,7.5,29,100
1,1.9,7.6,81,100
1,2.8,9,90,80
1,1,6.5,52,100
1,2.5,10,137,100
1,2.5,5,93,100
1,1,5.1,33,80
1,1.8,6.5,36,100
1,2,6.1,74,70
1,1.9,4.5,59,70
1,1.7,5.5,56,45
1,1.2,4.5,44,80
1,1.5,4.7,36,100
1,1.1,4.1,34,100
1,2.2,6.1,42,100
1,3.8,5,20,40
1,1.2,4.9,40,80
1,1.2,4,35,50
1,2,5.5,35,60
1,1.4,4.5,27,100
1,1.1,5.1,24,100
1,2.5,6,97,100
1,2.3,6.1,129,100
1,1.2,5.7,49,30
1,1.5,6,96,100
1,1.3,5,80,100
1,1.2,4.9,36,80
1,1,5.2,52,70
1,1.5,5,57,70

