site,achlor
'magee Marsh',1.25,
'Magee Marsh',1.55,
'Magee Marsh',1.74,
'Magee Marsh',1.7.7,
'Davis Besse-Toussaint',1.82,
'Carroll Twp-Camp Perry',2.33,
'Ottawa NWR',2.36,
'Camp Perry',2.49,
'Cedar Pt NWR',3.57,
'Cedar Pt NWR',3.88,
'Camp Perry',0.375,
'Magee Marsh',1.21,
'Magee Marsh',1.92,
'Cedar Pt NWR',2.22,
'Ottawa NWR',0.375,
'Camp Perry',0.375,
'Camp Perry',1.28,
'Camp Perry',1.54,
'Camp Perry',1.89,
'Cedar Pt NWR',2.33,
'Carroll Twp-Toussaint',2.34,
'Magee Marsh',2.36,
'Rossford',2.38,
'Carroll Twp-Camp Perry',2.45,
'Magee Marsh',2.64,
'Ottawa NWR',2.81,
'Ottawa NWR',3.02,
'Cedar Pt NWR',3.29,
'Rossford',3.6,
'Rookery',0.89,
'Rookery',1.53,
'Mud Ck',1.61,
'Peach Is',1.69,
'CR 306',1.82,
'Gibsonburg',1.97,
'CR 306',2.13,
'Gibsonburg',2.35,
'Cr 306',2.99,
'Pickeral Ck',0.375,
'Rookery',0.375,
'Gibsonburg',0.375,
'Peach Is',0.375,
'Peach Is',0.375,
'Old Womans Ck',1.01,
'Pickeral Ck',1.42,
'Peach Is',1.45,
'Gibsonburg',1.81,
'Ottawa SC',1.92,
'Sandusky Airport',1.94,
'CR 306',2.07,
'Mud Ck',2.22,
'CR 306',2.82,
'Gibsonburg',2.97,
'CR 306',3.85,
'Rookery',0.375,
'Pickeral Ck',1.1,
'Pickeral Ck',1.18,
'Rookery',1.2,
'Rookery',1.37,
'Gonya',1.4,
'Sandusky Airport',1.43,
'Pickeral Ck',1.61,
'CR 306',1.76,
'Mud Ck',1.81,
'Mud Ck',2.17,
'Gonya',2.31,
'Ballville',2.99,
'Pickeral Ck',1.38,
'Pickeral Ck',1.44,
'Metzger-Peach Is',1.49,
'Ballville',1.69,
'Mud Ck',1.81,
'CR 306',1.85,
'Old Womans Ck',1.92,
'CR 306',1.98,
'Mud Ck',1.99,
'Ballville',2.13,
'Sass',2.13,
'Mud Ck',2.92,
'Sass',3.34,
'Ballville',4.09,
'Old Womans Ck',0.375,
'Ft Seneca',2.19,
'Killdeer',0.375,
'Killdeer',0.375,
'Ft Seneca',0.375,
'Knobby',1.19,
'Indian Mill-Sycamore',1.36,
'Ft Seneca',1.56,
'Ft Seneca',1.63,
'Killdeer',0.375,
'Killdeer',0.375,
'Killdeer',0.96,
'Smithville-Sycamore',1.43,
'Smithville-Sycamore',1.46,
'Ft Seneca',1.51,
'Ft Seneca',1.75,
'Killdeer',0.375,
'Garlo',0.375,
'Killdeer',0.51,
'Mercer',0.99,
'Mercer',1.07,
'Ft Seneca',0.375,
'Garlo',0.375,
'Garlo',0.375,
'Killdeer',0.375,
'Knobby',0.375,
'Shendngo',0.78,
'Rockwell',1.16,
'Meander',2.46,
'Mosquito',0.375,
'Kinsman',0.375,
'Kinsman',0.375,
'Rockwell',0.375,
'Shandngo',0.375,
'Rockwell',0.78,
'Snow Lk',0.92,
'Rockwell',1.23,
'Snow Lk',1.28,
'Rockwell',1.29,
'Meander',2.09,
'Meander',2.14,
'Mosquito',0.375,
'Shendngo',0.375,
'Meander',0.375,
'Meander',1.11,
'Snow Lk',1.34,
'Snow Lk',0.375,
'Meander',0.375,
'Shendngo',0.375,
'Shendngo',0.375,
'Meander',0.87,
'Meander',1.04,
'Meander',1.17,
'Rockwell',1.2,
'Rockwell',1.31,
'Rockwell',2.7,
'Pymatuning',0.375,
'Pymatuning',0.375,
'Kinsman',0.375,
'Mosquito',0.375,
'Shendngo',0.375,
'Tri Valley-Wills Ck',3.82,
'Wills Ck',1.73,
'Wills Ck',5.45,
'Wills Ck',3.17,
'Wills Ck',4.14,

