station,date,time precip
6069,27/03/2015,0,0
6069,27/03/2015,1,0
6069,27/03/2015,2,0
6069,27/03/2015,3,0
6069,27/03/2015,4,0
6069,27/03/2015,5,0
6069,27/03/2015,6,0
6069,27/03/2015,7,0
6069,27/03/2015,8,0
6069,27/03/2015,9,0
6069,27/03/2015,10,0
6069,27/03/2015,11,0
6069,27/03/2015,12,0
6069,27/03/2015,13,0
6069,27/03/2015,14,0.2
6069,27/03/2015,15,0
6069,27/03/2015,16,0
6069,27/03/2015,17,0
6069,27/03/2015,18,0
6069,27/03/2015,19,0
6069,27/03/2015,20,0
6069,27/03/2015,21,0
6069,27/03/2015,22,0
6069,27/03/2015,23,0
6069,28/03/2015,0,0
6069,28/03/2015,1,0
6069,28/03/2015,2,0
6069,28/03/2015,3,-999
6069,28/03/2015,4,-999
6069,28/03/2015,5,-999
6069,28/03/2015,6,-999
6069,28/03/2015,7,-999
6069,28/03/2015,8,-999
6069,28/03/2015,9,-999
6069,28/03/2015,10,0
6069,28/03/2015,11,0
6069,28/03/2015,12,0
6069,28/03/2015,13,0
6069,28/03/2015,14,0
6069,28/03/2015,15,0
6069,28/03/2015,16,0
6069,28/03/2015,17,0
6069,28/03/2015,18,0.5
6069,28/03/2015,19,0.7
6069,28/03/2015,20,0.8
6069,28/03/2015,21,0.3
6069,28/03/2015,22,0.3
6069,28/03/2015,23,0.3
6069,29/03/2015,0,0.4
6069,29/03/2015,1,0.2
6069,29/03/2015,2,0.9
6069,29/03/2015,3,0.9
6069,29/03/2015,4,0.4
6069,29/03/2015,5,0
6069,29/03/2015,6,0
6069,29/03/2015,7,0.2
6069,29/03/2015,8,0.1
6069,29/03/2015,9,0
6069,29/03/2015,10,0
6069,29/03/2015,11,0
6069,29/03/2015,12,0.3
6069,29/03/2015,13,1.5
6069,29/03/2015,14,0.2
6069,29/03/2015,15,0
6069,29/03/2015,16,0.2
6069,29/03/2015,17,0
6069,29/03/2015,18,0.1
6069,29/03/2015,19,0
6069,29/03/2015,20,0.3
6069,29/03/2015,21,0.1
6069,29/03/2015,22,0.1.
6069,03/29/2015,23,0
