site.id,month,discharge
1509000,Jan,37237.615
1509000,Feb,24522.010
1509000,Mar,27158.420
1509000,Apr,16505.757
1509000,May,9830.955
1509000,Jun,27116.135
1509000,Jul,26460.672
1509000,Aug,12425.920
1509000,Sep,7459.027
1509000,Oct,23286.085
1509000,Nov,29718.360
1509000,Dec,14157.208
4232730,Jan,60388.111
4232730,Feb,39808.994
4232730,Mar,7917.205
4232730,Apr,13785.879
4232730,May,10143.942
4232730,Jun,31553.909
4232730,Jul,24587.140
4232730,Aug,11300.953
4232730,Sep,NA
4232730,Oct,26051.044
4232730,Nov,49824.330
4232730,Dec,36907.146
