year,month,states,cat,pressure,wind,name
1851,Jun,"TX, C1",1,977,80,-----
1851,Aug,"FL, NW3; GA, 1",3,960,100,“Great Middle Florida”
1852,Aug,"FL, SW1",1,977,80,-----
1852,Aug,"AL, 3; MS, 3; LA, 2; FL, NW1",3,961,100,“Great Mobile”
1852,Sep,"FL, SW1",1,985,70,-----
1852,Oct,"FL, NW2; GA, 1",2,969,90,“Middle Florida”
1853,Oct,"GA, 1",1,965,70,-----
1854,Jun," TX, S1",1,985,70,-----
1854,Sep,"GA, 3; SC, 2; FL, NE1",3,950,100,“Great Carolina”
1854,Sep,"TX, C2",2,969,90,“Matagorda”
1855,Sep,"LA, 3; MS, 3",3,950,110,“Middle Gulf Shore”
1856,Aug,"LA, 4",4,934,130,“Last Island”
1856,Aug,"FL, NW2; AL, 1; GA, 1",2,969,90,“Southeastern States”
1857,Sep,"NC, 1",1,961,80,-----
1858,Sep,"NY, 1; CT, 1; RI, 1; MA, 1",1,976,80,“New England”
1859,Sep,"AL, 1; FL, NW1",1,985,70,-----
1860,Aug,"LA, 3; MS, 3; AL, 2",3,950,110,-----
1860 ,Sep,"LA, 2; MS, 2; AL, 1",2,969,90,-----
1860,Oct,"LA, 2",2,969,90,-----
1861,Aug,"FL, SW1",1,970,70,“Key West”
1861,Sep,"NC, 1",1,985,70,“Equinoctial”
1861,Nov,"NC, 1",1,985,70,“Expedition”
1865,Sep,"LA, 2; TX, N1",2,969,90,“Sabine River-Lake Calcasieu”
1865,Oct,"FL, SW2; FL, SE1",2,969,90,-----
1866,Jul,"TX, C2",2,969,90,-----
1867,Jun,"SC, 1",1,985,70,-----
1867,Oct,"LA, 2; TX, S1, N1; FL, NW1",2,969,90,“Galveston”
1869,Aug,"TX, C2",2,969,90,“Lower Texas Coast”
1869,Sep,"LA, 1",1,985,70,-----
1869,Sep,"RI, 3; MA, 3; NY, 1; CT, 1",3,963,100,“Eastern New England”
1869,Oct,"ME, 2; MA, 1",2,965,90,“Saxby’s Gale”
1870,Jul,"AL, 1",1,985,70,“Mobile”
1870,Oct,"FL, SW1, SE1",1,970,70,“Twin Key West (I)”
1870,Oct,"FL, SW1",1,977,80,“Twin Key West (II)”
1871,Aug,"FL, SE3, NE1, NW1",3,955,100,-----
1871,Aug,"FL, SE2, NE1",2,965,90,-----
1871,Sep,"FL, NW1",1,985,70,-----
1873,Sep,"FL, NW1",1,985,70,-----
1873,Oct,"FL, SW3, SE2, NE1",3,959,100,-----
1874,Sep,"FL, NW1; SC, 1; NC, 1",1,985,70,-----
1875,Sep,"TX, C3, S2",3,960,100,-----
1876,Sep,"NC, 1; VA, 1",1,980,80,-----
1876,Oct,"FL, SW2, SE1",2,973,90,-----
1877,Sep,"LA, 1; FL, NW1",1,985,70,-----
1877,Oct,"FL, NW3; GA, 1",3,960,100,-----
1878,Sep,"FL, NW2, SW2, NE1; SC, 1; GA,," 1,2,970,90,-----
1878,Oct,"NC, 2; VA, 1; MD, 1; DE, 1; NJ, 1; PA, 1",2,963,90,-----
1879,Aug,"NC, 3; VA, 2",3,971,100,-----
1879,Aug,"TX, N2; LA, 2",2,964,90,-----
1879,Sep,"LA, 3",3,950,110,-----
1880,Aug,"TX, S3",3,931,110,-----
1880,Aug,"FL, SE2, NE1, NW1",2,972,90,-----
1880,Sep,"NC, 1",1,987,70,-----
1880,Oct,"FL, NW1",1,985,70,-----
1881,Aug,"GA, 2; SC, 1",2,970,90,-----
1881,Sep,"NC, 2",2,975,90,-----
1882,Sep,"FL, NW3; AL, 1",3,949,100,-----
1882,Sep,"LA, 2; TX, N1",2,969,90,-----
1882,Oct,"FL, NW1",1,985,70,-----
1883,Sep,"NC, 2; SC, 1",2,965,90,-----
1885,Aug,"SC, 3; NC, 2; GA, 1; FL, NE1",3,953,100,-----
1886,Jun,"TX, N2; LA, 2",2,973,85,-----
1886,Jun,"FL, NW2; GA, 1",2,973,85,-----
1886,Jun,"FL, NW2",2,973,85,-----
1886,Jul,"FL, NW1",1,985,70,-----
1886,Aug,"TX, C4",4,925,135,“Indianola”
1886,Sep,"TX, S1, C1",1,973,80,-----
1886,Oct,"LA, 3; TX, N2",3,955,105,-----
1887,Jul,"FL, NW1",1,981,75,-----
1887,Aug,"NC, 1",1,946,65,-----
1887,Sep,"TX, S2",2,973,85,-----
1887,Oct,"LA, 1",1,981,75,-----
1888,Jun,"TX, C1",1,985,70,-----
1888,Aug,"FL, SE3, SW1; LA2",3,945,110,-----
1888,Sep,"MA, TS",TS,985,55,-----
1888,Oct,"FL, NW2, NE1",2,970,95,-----
1889,Sep,"LA, 1",1,985,70,-----
1891,Jul,"TX, C1, N1",1,977,80,-----
1891,Aug,"FL, SE1",1,985,70,-----
1893,Aug,"NY, ,1",1,986,75,“Midnight Storm”
1893,Aug,"GA, 3; SC, 3; NC, 1; FL, NE1",3,954,100,“Sea Islands”
1893,Sep,"LA, 2",2,973,85,-----
1893,Oct,"LA, 4; MS, 2; AL, 2",4,948,115,“Chenier Caminanda”
1893,Oct,"SC, 3; NC, 2; VA, 1",3,955,105,-----
1894,Sep,"FL, SW2, NE1; SC, 1; VA, 1",2,975,90,-----
1894,Oct,"FL, NW3; GA, 1; NY, 1; RI, 1",3,955,105,-----
1895,Aug,"TX, S1",1,973,65,-----
1896,Jul,"FL, NW2",2,973,85,-----
1896,Sep,"RI, 1; MA, 1",1,985,70,-----
1896,Sep,"FL, NW3, NE3; GA, 2; SC, 1; NC, 1; VA, 1",3,960,110,-----
1897,Sep,"LA, 1; TX, N1",1,981,75,-----
1898,Aug,"FL, NW1",1,985,70,-----
1898,Aug,"GA, 1; SC, 1",1,980,75,-----
1898,Oct,"GA, 4; FL, NE2",4,938,115,-----
1899,Aug,"FL, NW2",2,979,85,-----
1899,Aug,"NC, 3",3,945,105,-----
1899,Oct,"NC, 2; SC, 2",2,955,95,-----
1900,Sep,"TX, N4",4,936,125,“Galveston”
1901,Jul,"NC, 1",1,983,70,-----
1901,Aug,"LA, 1; MS, 1; AL, 1",1,973,80,-----
1903,Sep,"FL, SE1, NW1",1,976,80,-----
1903,Sep,"NJ, 1; DE, 1",1,990,70,-----
1904,Sep,"SC, 1",1,985,70,-----
1904,Oct,"FL, SE1",1,985,70,-----
1906,Jun,"FL, SW1, SE1",1,979,75,-----
1906,Sep,"SC, 1; NC, 1",1,977,80,-----
1906,Sep,"MS, 2; AL, 2; FL, NW2; LA, 1",2,958,95,-----
1906,Oct,"FL, SW3, SE3",3,953,105,-----
1908,May,"NC, TS",TS,989,55,-----
1908,Jul,"NC, 1",1,985,70,-----
1909,Jun,"TX, S2",2,972,85,-----
1909,Jul,"TX, N3",3,959,100,“Velasco”
1909,Aug,"TX, S1",1,955,65,-----
1909,Sep,"LA, 3; MS, 2",3,952,105,“Grand Isle”
1909,Oct,"FL, SW3, SE3",3,957,100,-----
1910,Sep,"TX, S2",2,965,95,-----
1910,Oct,"FL, SW2",2,955,95,-----
1911,Aug,"FL, NW1; AL, 1",1,985,70,-----
1911,Aug,"SC, 2; GA, 1",2 ,972 ,85,-----
1912,Sep,"AL, 1; FL, NW1",1 ,988 ,65,-----
1912,Oct,"TX, S2",2 ,973 ,85,-----
1913,Jun,"TX, S1",1 ,988 ,65,-----
1913,Sep,"NC, 1",1 ,976 ,75,-----
1913,Oct,"SC, 1",1,989,65,-----
1915,Aug,"TX, N4",4,945,-----,“Galveston”
1915,Sep,"FL, NW1",1,988,-----,-----
1915,Sep,"LA, 4",4,931,-----,“New Orleans”
1916,Jul,"MS, 3; AL, 3",3,948,-----,-----
1916,Jul,"MA, 1",1,-----,-----,-----
1916,Jul,"SC, 1",1,980,-----,-----
1916,Aug,"TX, S3",3,948,-----,-----
1916,Oct,"AL, 2; FL, NW2",2,972,-----,-----
1916,Nov,"FL, SW1",1,-----,-----,-----
1917,Sep,"FL, NW3",3,958,-----,-----
1918,Aug,"LA, 3",3,955,-----,-----
1919,Sep,"FL, SW4; TX, S4",4,927,-----,-----
1920,Sep,"LA, 2",2,975,-----,-----
1920,Sep,"NC, 1",1,-----,-----,-----
1921,Jun,"TX, C2",2,979,-----,-----
1921,Oct,"FL, SW3, NE2",3,952,-----,“Tampa Bay”
1923,Oct,"LA, 1",1,985,-----,-----
1924,Sep,"FL, NW1",1,985,-----,-----
1924,Oct,"FL, SW1",1,980,-----,-----
1925,No-De,"FL, SW1",1,-----,-----,-----
1926,Jul,"FL, NE2",2,967,-----,-----
1926,Aug,"LA, 3",3,955,-----,-----
1926,Sep,"FL, SE4, SW3, NW3; AL, 3",4,935,-----,“Great Miami”
1928,Aug,"FL, SE2",2,-----,-----,-----
1928,Sep,"FL, SE4, NE2; GA, 1; SC, 1",4,929,-----,“Lake Okeechobee”
1929,Jun,"TX, C1",1,982,-----,-----
1929,Sep,"FL, SE3, NW2",3,948,-----,-----
1932,Aug,"TX, N4",4,941,-----,“Freeport”
1932,Sep,"AL, 1",1,979,-----,-----
1933,Jl-Au,"TX, S2; FL, SE1",2,975,-----,-----
1933,Aug,"NC, 2; VA, 2",2,971,-----,-----
1933,Sep,"TX, S3",3,949,-----,-----
1933,Sep,"FL, SE3",3,948,-----,-----
1933,Sep,"NC, 3",3,957,-----,-----
1934,Jun,"LA, 3",3,962,-----,-----
1934,Jul,"TX, S2",2,975,-----,-----
1935,Sep,"FL, SW5, NW2",5,892,-----,“Labor Day”
1935,Nov,"FL, SE2",2,973,-----,-----
1936,Jun,"TX, S1",1,987,-----,-----
1936,Jul,"FL, NW3",3,964,-----,-----
1936,Sep,"NC, 2",2,-----,-----,-----
1938,Aug,"LA, 1",1,985,-----,-----
1938,Sep,"NY, 3; CT, 3; RI, 3; MA, 3",3,946,-----,“New England”
1939,Aug,"FL, SE1, NW1",1,985,-----,-----
1940,Aug,"TX, N2; LA, 2",2,972,-----,-----
1940,Aug,"GA, 2; SC, 2",2,970,-----,-----
1941,Sep,"TX, N3",3,958,-----,-----
1941,Oct,"FL, SE2, SW2, NW2",2,975,-----,-----
1942,Aug,"TX, N1",1,992,-----,-----
1942,Aug,"TX, C3",3,950,-----,-----
1943,Jul,"TX, N2",2,969,-----,-----
1944,Aug,"NC, 1",1,990,-----,-----
1944,Sep,"NC, 3; VA, 3; NY, 3; CT, 3; RI, 3;, MA, 2",3,947,-----,-----
1944,Oct,"FL, SW3, NE2",3,962,-----,-----
1945,Jun,"FL, NW1",1,985,-----,-----
1945,Aug,"TX, C2",2,967,-----,-----
1945,Sep,"FL, SE3",3,951,-----,-----
1946,Oct,"FL, SW1",1,980,-----,-----
1947,Aug,"TX, N1",1,992,-----,-----
1947,Sep,"FL, SE4, SW2; MS, 3; LA, 3",4,940,-----,-----
1947,Oct,"GA, 2; SC, 2; FL, SE1",2,974,-----,-----
1948,Sep,"LA, 1",1,987,-----,-----
1948,Sep,"FL, SW3, SE2",3,963,-----,-----
1948,Oct,"FL, SE2",2,975,-----,-----
1949,Aug,"NC, 1",1,980,-----,-----
1949,Aug,"FL, SE3",3,954,-----,-----
1949,Oct,"TX, N2",2,972,-----,-----
1950,Aug,"AL, 1",1,980,-----,Baker
1950,Sep,"FL, NW3",3,958,-----,Easy
1950,Oct,"FL, SE3",3,955,-----,King
1952,Aug,"SC, 1",1,985,-----,Able
1953,Aug,"NC, 1",1,987,-----,Barbara
1953,Sep,"ME, 1",1,-----,-----,Carol
1953,Sep,"FL, NW1",1,985,-----,Florence
1954,Aug,"NY, 3; CT, 3; RI, 3; NC, 2",3,960,-----,Carol
1954,Sep,"MA, 3; ME, 1",3,954,-----,Edna
1954,Oct,"SC, 4; NC, 4; MD, 2",4,938,-----,Hazel
1955,Aug,"NC, 3; VA, 1",3,962,-----,Connie
1955,Aug,"NC, 1",1,987,-----,Diane
1955,Sep,"NC, 3",3,960,-----,Ione
1956,Sep,"LA, 2; FL, NW1",2,975,-----,Flossy
1957,Jun,"TX, N4; LA, 4",4,945,-----,Audrey
1959,Jul,"SC, 1",1,993,-----,Cindy
1959,Jul,"TX, N1",1,984,-----,Debra
1959,Sep,"SC, 3",3,950,-----,Gracie
1960,Sep,"FL, SW4; NC, 3; NY, 3; FL, NE2; CT, 2; RI, 2; MA, 1; NH, 1; ME, 1",4,930,-----,Donna
1960,Sep,"MS, 1",1,981,-----,Ethel
1961,Sep,"TX, C4",4,931,-----,Carla
1963,Sep,"TX, N1",1,996,-----,Cindy
1964,Aug,"FL, SE2",2,968,-----,Cleo
1964,Sep,"FL, NE2",2,966,-----,Dora
1964,Oct,"LA, 3",3,950,-----,Hilda
1964,Oct,"FL, SW2, SE2",2,974,-----,Isbell
1965,Sep,"FL, SE3; LA, 3",3,948,-----,Betsy
1966,Jun,"FL, NW2",2,982,-----,Alma
1966,Oct,"FL, SW1",1,983,-----,Inez
1967,Sep,"TX, S3",3,950,-----,Beulah
1968,Oct,"FL, NW2, NE1",2,977,-----,Gladys
1969,Aug,"LA, 5; MS, 5",5,909,-----,Camille
1969,Sep,"ME, 1",1,980,-----,Gerda
1970,Aug,"TX, S3",3,945,-----,Celia
1971,Sep,"LA, 2",2,978,-----,Edith
1971,Sep,"TX, C1",1,979,-----,Fern
1971,Sep,"NC, 1",1,995,-----,Ginger
1972,Jun,"FL, NW1; NY, 1; CT, 1",1,980,-----,Agnes
1974,Sep,"LA, 3",3,952,-----,Carmen
1975,Sep,"FL, NW3",3,955,-----,Eloise
1976,Aug,"NY, 1",1,980,-----,Belle
1977,Sep,"LA, 1",1,995,-----,Babe
1979,Jul,"LA, 1",1,986,-----,Bob
1979,Sep,"FL, SE2, NE2; GA, 2; SC, 2",2,970,-----,David
1979,Sep,"AL, 3; MS, 3",3,946,-----,Frederic
1980,Aug,"TX, S3",3,945,100,Allen
1983,Aug,"TX, N3",3,962,100,Alicia
1984,Sep,"NC, 3",3,949,100,Diana
1985,Jul,"SC, 1",1,1002,65,Bob
1985,Aug,"LA, 1",1,987,80,Danny
1985,Sep,"AL, 3; MS, 3; FL, NW3",3,959,100,Elena
1985,Sep,"NC, 3; NY,3; CT,2; NH,2; ME,1",3,942,90,Gloria
1985,Oct,"LA, 1",1,971,75,Juan
1985,Nov,"FL, NW2",2,967,85,Kate
1986,Jun,"TX, N1",1,990,75,Bonnie
1986,Aug,"NC, 1",1,990,65,Charley
1987,Oct,"FL, SW1",1,993,65,Floyd
1988,Sep,"LA, 1",1,984,70,Florence
1989,Aug,"TX, N1",1,986,70,Chantal
1989,Sep,"SC, 4",4,934,120,Hugo
1989,Oct,"TX, N1",1,983,75,Jerry
1991,Aug,"RI, 2; MA, 2; NY, 2; CT, 2",2,962,90,Bob
1992,Aug,"FL, SE5, SW4; LA, 3",5,922,145,Andrew
1993,Aug,"NC, 3",3,960,100,Emily
1995,Aug,"FL, NW2, SE1",2,973,85,Erin
1995,Oct,"FL, NW3",3,942,100,Opal
1996,Jul,"NC, 2",2,974,90,Bertha
1996,Sep,"NC, 3",3,954,100,Fran
1997,Jul,"LA, 1; AL, 1",1,984,70,Danny
1998,Aug,"NC, 2",2,964,95,Bonnie
1998,Sep,"FL, NW1",1,987,70,Earl
1998,Sep,"FL, SW2; MS, 2",2,964,90,Georges
1999,Aug,"TX, S3",3,951,100,Bret
1999,Sep,"NC, 2",2,956,90,Floyd
1999,Oct,"FL, SW1",1,987,70,Irene
2002,Oct,"LA, 1",1,963,80,Lili
2003,Jul,"TX, C1",1,979,80,Claudette
2003,Sep,"NC, 2; VA, 1",2,957,90,Isabel
2004,Aug,"NC, 1",1,972,70,Alex
2004,Aug,"FL, SW4, SE1, NE1; SC,1; NC,1",4,941,130,Charley
2004,Aug,"SC, 1",1,985,65,Gaston
2004,Sep,"FL, SE2, SW1",2,960,90,Frances
2004,Sep,"AL, 3; FL, NW3",3,946,105,Ivan
2004,Sep,"FL, SE3, SW1, NW1",3,950,105,Jeanne
2005,Jul,"LA, 1",1,991,65,Cindy
2005,Jul,"FL, NW3",3,946,105,Dennis
2005,Aug,"FL, SE1; LA, 3; MS, 3; AL, 1",3,920,110,Katrina
2005,Sep,"NC, 1",1,982,65,Ophelia
2005,Sep,"FL, SW1; LA, 3; TX, N2",3,937,100,Rita
2005,Oct,"FL, SW3; FL, SE2",3,950,105,Wilma
