site.no,date,discharge,discharge.code,max.temp,max.temp.code,min.temp,min.temp.code,DO.max,DO.max.code,DO.min,DO.min.code
9041400,2007-01-01,23,A,4.1,P,3.1,P,8.5,P,7.1,P
9041400,2007-01-02,23,A,4.2,P,2.8,P,8.6,P,7.1,P
9041400,2007-01-03,22,A,4.3,P,3.2,P,8.3,P,6.9,P
9041400,2007-01-04,22,A,4.3,P,3.4,P,8.2,P,6.9,P
9041400,2007-01-05,22,A,3.8,P,3.1,P,8.5,P,7.1,P
9041400,2007-01-06,22,A,3.9,P,2.9,P,8.4,P,7.1,P
9041400,2007-01-07,22,A,4.2,P,3.1,P,8.3,P,7.1,P
9041400,2007-01-08,22,A,4.3,P,3.3,P,8.4,P,7,P
9041400,2007-01-09,22,A,4.3,P,3.2,P,8.2,P,7,P
9041400,2007-01-10,21,A,4.3,P,3,P,8.4,P,7,P
9041400,2007-01-11,21,A,4.2,P,3.3,P,8.6,P,7,P
9041400,2007-01-12,21,A,4.3,P,3.3,P,8.5,P,7.1,P
9041400,2007-01-13,21,A,4.3,P,3.2,P,8.7,P,7.1,P
9041400,2007-01-14,21,A,3.7,P,2.9,P,8.7,P,7,P
9041400,2007-01-15,21,A,3.9,P,2.8,P,8.6,P,7.1,P
9041400,2007-01-16,21,A,3.9,P,2.8,P,8.4,P,7,P
9041400,2007-01-17,21,A,3.9,P,2.7,P,8.1,P,6.9,P
9041400,2007-01-18,21,A,4.2,P,2.9,P,8,P,7,P
9041400,2007-01-19,21,A,4,P,2.8,P,8.1,P,7,P
9041400,2007-01-20,21,A,3.9,P,2.9,P,8.1,P,6.9,P
9041400,2007-01-21,21,A,4.1,P,3.2,P,8,P,6.9,P
9041400,2007-01-22,20,A,4.1,P,2.8,P,7.9,P,6.8,P
9041400,2007-01-23,20,A,4.2,P,2.9,P,7.8,P,6.7,P
9041400,2007-01-24,20,A,4.2,P,2.9,P,7.8,P,6.7,P
9041400,2007-01-25,20,A,4.2,P,2.9,P,7.8,P,6.8,P
9041400,2007-01-26,20,A,4.2,P,3,P,7.8,P,6.7,P
9041400,2007-01-27,20,A,4.2,P,2.9,P,7.7,P,6.7,P
9041400,2007-01-28,20,A,4.3,P,2.9,P,7.4,P,6.4,P
9041400,2007-01-29,20,A,4.4,P,2.9,P,7.5,P,6.4,P
9041400,2007-01-30,20,A,4.2,P,3.2,P,7.3,P,6.2,P
9041400,2007-01-31,20,A,4,P,3,P,7.6,P,6.2,P
9041400,2007-02-01,20,A,3.9,P,2.8,P,7.5,P,6.4,P
9041400,2007-02-02,20,A,4.2,P,2.9,P,7.7,P,6.3,P
9041400,2007-02-03,20,Ae,NA,NA,NA,NA,NA,NA,NA,NA
9041400,2007-02-04,20,Ae,NA,NA,NA,NA,NA,NA,NA,NA
9041400,2007-02-05,20,Ae,NA,NA,NA,NA,NA,NA,NA,NA
9041400,2007-02-06,21,Ae,NA,NA,NA,NA,NA,NA,NA,NA
9041400,2007-02-07,21,Ae,NA,NA,NA,NA,NA,NA,NA,NA
9041400,2007-02-08,21,Ae,NA,NA,NA,NA,NA,NA,NA,NA
9041400,2007-02-09,21,Ae,NA,NA,NA,NA,NA,NA,NA,NA
9041400,2007-02-10,21,A,4.7,P,3.7,P,8.1,P,6.5,P
9041400,2007-02-11,22,A,4.6,P,3.9,P,8.1,P,6.5,P
9041400,2007-02-12,22,A,4.7,P,3.6,P,8.1,P,6.4,P
9041400,2007-02-13,21,A,4.7,P,3.4,P,8,P,6.3,P
9041400,2007-02-14,20,A,4.7,P,3.6,P,8.1,P,6.3,P
9041400,2007-02-15,20,A,4.5,P,3.4,P,8.1,P,6.4,P
9041400,2007-02-16,19,A,4.3,P,2.7,P,8.9,P,6.5,P
9041400,2007-02-17,18,A,4.9,P,2.7,P,8.2,P,6.6,P
9041400,2007-02-18,18,A,4.8,P,3,P,8.3,P,6.6,P
9041400,2007-02-19,17,A,4.8,P,3.4,P,8.6,P,6.5,P
9041400,2007-02-20,17,A,4.8,P,3,P,8.5,P,6.7,P
9041400,2007-02-21,17,A,5,P,3.2,P,8.6,P,6.7,P
9041400,2007-02-22,17,A,5,P,3.3,P,8.7,P,6.7,P
9041400,2007-02-23,18,Ae,4.6,P,3.2,P,8.5,P,6.8,P
9041400,2007-02-24,20,Ae,4.3,P,3.2,P,8.4,P,6.8,P
9041400,2007-02-25,20,Ae,4.1,P,3.1,P,8.2,P,6.8,P
9041400,2007-02-26,20,Ae,4.4,P,3.3,P,8.3,P,6.8,P
9041400,2007-02-27,20,Ae,4.8,P,3.3,P,8.4,P,6.8,P
9041400,2007-02-28,20,Ae,4.2,P,3.1,P,8.5,P,6.9,P
9041400,2007-03-01,20,Ae,3.8,P,2.9,P,8.8,P,7,P
9041400,2007-03-02,20,Ae,4.4,P,3,P,8.7,P,7,P
9041400,2007-03-03,20,Ae,4.6,P,2.7,P,8.2,P,7,P
9041400,2007-03-04,21,Ae,4.7,P,2.7,P,8.1,P,6.9,P
9041400,2007-03-05,21,Ae,4.8,P,2.9,P,8.1,P,6.8,P
9041400,2007-03-06,21,Ae,4.7,P,3,P,7.8,P,6.6,P
9041400,2007-03-07,20,Ae,5.1,P,3.2,P,8.3,P,6.5,P
9041400,2007-03-08,20,A,4.4,P,3.4,P,7.7,P,6.5,P
9041400,2007-03-09,20,A,5.1,P,3.3,P,7.8,P,6.4,P
9041400,2007-03-10,20,A,4.7,P,3.5,P,7.8,P,6.4,P
