"time" "x" "z" "v.x" "v.z" "d" "speed"
0 0 147098290000 -30287 0 147098290000 30287
86400 -2615526068.63818 147075398905.377 -30256.0186050004 -529.795420616429 147098653766.075 30260.656718152
172800 -5227969629.49892 147006759554.675 -30215.6489269522 -1058.95881523206 147099690758.387 30234.1997388584
259200 -7836520436.02077 146892433946.444 -30165.9122434393 -1587.31924570607 147101319515.682 30207.6454538693
345600 -10440370210.192 146732498795.975 -30106.8330386531 -2114.70707524307 147103458603.245 30181.0102818215
432000 -13038712927.0192 146527045416.135 -30038.4389264163 -2640.95403048978 147106026637.848 30154.3106591281
518400 -15630745081.6096 146276179596.981 -29960.7605750205 -3165.89325752276 147108942315.872 30127.5630337359
604800 -18215665948.0888 145980021481.54 -29873.8316318556 -3689.35937379201 147112124441.472 30100.7838595184
691200 -20792677825.7756 145638705440.733 -29777.6886494942 -4211.18851534321 147115491956.555 30073.989592636
777600 -23360986309.2185 145252379928.595 -29672.3710021875 -4731.21838622691 147118963958.629 30047.1966797176
864000 -25919800511.6873 144821207353.527 -29557.9208139138 -5249.28829686746 147122459733.036 30020.4215570872
950400 -28468333295.7454 144345363939.946 -29434.3828825337 -5765.23920134753 147125898779.219 29993.6806465019
1036800 -31005801509.0054 143825039580.586 -29301.8046003849 -6278.91373367223 147129200832.374 29966.9903479484
1123200 -33531426203.4192 143260437690.726 -29160.2358779256 -6790.15623870615 147132285887.815 29940.3670351968
1209600 -36044432849.3835 142651775059.369 -29009.7290673637 -7298.81280007651 147135074224.41 29913.8270512552
1296000 -38544051543.063 141999281697.807 -28850.3388866694 -7804.73126464482 147137486426.973 29887.3867039089
1382400 -41029517207.7367 141303200686.408 -28682.1223441326 -8307.76126404526 147139443408.364 29861.0622614829
1468800 -43500069788.5306 140563788019.621 -28505.138663622 -8807.75423303631 147140866430.887 29834.8699488013
1555200 -45954954440.5821 139781312449.491 -28319.4492106556 -9304.56342472141 147141677126.973 29808.825943327
1641600 -48393421710.8744 138956055327.979 -28125.1174193819 -9798.04392280472 147141797519.26 29782.946371493
1728000 -50814727713.8682 138088310448.384 -27922.2087205708 -10288.0526509832 147141150040.102 29757.2473052284
1814400 -53218134300.9387 137178383886.059 -27710.7904707125 -10774.4483795145 147139657550.45 29731.7447586675
1900800 -55602909223.7414 136226593838.695 -27490.9318823199 -11257.0917290597 147137243358.153 29706.4546850481
1987200 -57968326291.6048 135233270466.365 -27262.7039555093 -11735.8451718771 147133831235.644 29681.392973781
2073600 -60313665523.0732 134198755731.591 -27026.1794109508 -12210.5730304633 147129345437.056 29656.575447701
2160000 -62638213291.7166 133123403239.629 -26781.4326242567 -12681.1414737253 147123710714.757 29632.0178604873
2246400 -64941262466.3384 132007578079.189 -26528.5395618858 -13147.4185107752 147116852335.329 29607.735894256
2332800 -67222112545.7124 130851656663.798 -26267.5777186239 -13609.2739824352 147108696094.993 29583.7451573146
2419200 -69480069787.9877 129656026573.983 -25998.6260567064 -14066.5795505422 147099168334.484 29560.0611820779
2505600 -71714447334.908 128421086400.471 -25721.7649466385 -14519.208685144 147088195953.41 29536.6994231394
2592000 -73924565330.9919 127147245588.593 -25437.0761097674 -14967.0366496744 147075706424.08 29513.6752554947
2678400 -76109751037.8295 125834924284.039 -25144.6425626555 -15409.9404841987 147061627804.843 29491.003972911
2764800 -78269338943.6525 124484553180.151 -24844.5485633004 -15847.7989868176 147045888752.927 29468.7007864407
2851200 -80402670868.3386 123096573366.893 -24536.8795592422 -16280.4926933182 147028418536.802 29446.7808230704
2937600 -82509096064.0155 121671436181.656 -24221.7221375985 -16707.903855159 147009147048.093 29425.259124505
3024000 -84587971311.432 120209603062.034 -23899.163977058 -17129.9164158777 146988004813.03 29404.1506460782
3110400 -86638661012.268 118711545400.696 -23569.2938018684 -17546.4159860051 146964923003.485 29383.4702557872
3196800 -88660537277.5554 117177744402.5 -23232.2013378434 -17957.2898165715 146939833447.579 29363.2327334446
3283200 -90652980012.3867 115608690943.937 -22887.9772704158 -18362.4267712884 146912668639.9 29343.4527699451
3369600 -92615376997.0879 114004885435.053 -22536.7132047597 -18761.7172974881 146883361751.331 29324.1449666389
3456000 -94547123965.0372 112366837683.913 -22178.5016280004 -19155.0533959015 146851846638.519 29305.3238348095
3542400 -96447624677.3084 110695066763.735 -21813.4358735314 -19542.3285893548 146818057852.986 29287.0037952499
3628800 -98316290994.3234 108990100882.77 -21441.6100874528 -19923.4378904611 146781930649.917 29269.1991779314
3715200 -100152542944.697 107252477257.016 -21063.1191971447 -20298.2777683861 146743400996.624 29251.9242217616
3801600 -101955808791.459 105482741985.834 -20678.0588819883 -20666.7461147607 146702405580.721 29235.1930744258
3888000 -103725525095.84 103681449930.55 -20286.5255462428 -21028.742208816 146658881818.009 29219.0197923065
