"Bottle ID","Date and time","Cumulative time (d)","Biogas volume (mL)","Biogas pressure (kPa gauge)","Normalised CH4 content (mol/mol)","Biogas temperature (C)","Atmospheric pressure (kPa)"
id,date.time,time.d,vol.ml,pres.kPa,xCH4,temp.C,pres.atm.kPa
D,"2016/08/03 11:14:00",0.9438,103,61.4,,19,100.7
E,"2016/08/03 11:16:00",0.9451,106,59.8,,19,100.7
F,"2016/08/03 11:19:00",0.9472,107,60.6,,19,100.7
D,"2016/08/05 10:20:00",2.906,192,110,0.6983,21,101.2
E,"2016/08/05 10:24:00",2.909,181,104.2,0.6817,21,101.2
F,"2016/08/05 10:26:00",2.91,203,116.2,0.6869,21,101.2
D,"2016/08/08 09:51:00",5.886,141,79.7,0.68,20,101
E,"2016/08/08 09:54:00",5.888,133,74.4,0.68,20,101
F,"2016/08/08 09:56:00",5.89,140,78.2,0.68,20,101
D,"2016/08/12 12:37:00",10,112,65.4,0.6646,20.5,101.6
E,"2016/08/12 12:40:00",10,111,63.7,0.6644,20.5,101.6
F,"2016/08/12 12:43:00",10.01,110,67.5,0.6632,20.5,101.6
D,"2016/08/25 14:54:00",23.1,200,107.9,0.6946,21,101.8
E,"2016/08/25 14:59:00",23.1,190,102.7,0.6871,21,101.8
F,"2016/08/25 15:02:00",23.1,200,110.6,0.6829,21,101.8
D,"2016/09/05 12:51:00",34.01,109,66.3,0.6626,20,101.8
E,"2016/09/05 12:53:00",34.01,110,63.6,0.6556,20,101.8
F,"2016/09/05 12:55:00",34.01,112,68.1,0.6527,20,101.8
D,"2016/09/29 08:39:00",57.84,146,80.2,0.6651,21,100.7
E,"2016/09/29 08:42:00",57.84,136,73.7,0.66,21,100.7
F,"2016/09/29 08:44:00",57.84,138,74.7,,21,100.7
