"Bottle ID","Date and time","Cumulative time (d)","Biogas volume (mL)","Cum. Biogas volume (mL)","Biogas temperature (C)","Atmospheric pressure (kPa)"
id,date.time,time.d,vol.ml,cvol.ml,temp.C,pres.atm.kPa
D,"2016/08/03 11:14:00",0.9438,103,103,19,100.7
E,"2016/08/03 11:16:00",0.9451,106,106,19,100.7
F,"2016/08/03 11:19:00",0.9472,107,107,19,100.7
D,"2016/08/05 10:20:00",2.906,192,295,21,101.2
E,"2016/08/05 10:24:00",2.909,181,287,21,101.2
F,"2016/08/05 10:26:00",2.91,203,310,21,101.2
D,"2016/08/08 09:51:00",5.886,141,436,20,101
E,"2016/08/08 09:54:00",5.888,133,420,20,101
F,"2016/08/08 09:56:00",5.89,140,450,20,101
D,"2016/08/12 12:37:00",10,112,548,20.5,101.6
E,"2016/08/12 12:40:00",10,111,531,20.5,101.6
F,"2016/08/12 12:43:00",10.01,110,560,20.5,101.6
D,"2016/08/25 14:54:00",23.1,200,748,21,101.8
E,"2016/08/25 14:59:00",23.1,190,721,21,101.8
F,"2016/08/25 15:02:00",23.1,200,760,21,101.8
D,"2016/09/05 12:51:00",34.01,109,857,20,101.8
E,"2016/09/05 12:53:00",34.01,110,831,20,101.8
F,"2016/09/05 12:55:00",34.01,112,872,20,101.8
D,"2016/09/29 08:39:00",57.84,146,1003,21,100.7
E,"2016/09/29 08:42:00",57.84,136,967,21,100.7
F,"2016/09/29 08:44:00",57.84,138,1010,21,100.7
