WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
14771,20110101,0054,11,OVC041, ,10.00, , , ,39, ,3.9, ,38, ,3.1, ,36, ,2.2, , 89, , 5, ,120, , , ,29.54, ,8, ,008, ,29.98, ,AA, , , ,29.99, 
14771,20110101,0154,11,SCT045 OVC060, ,10.00, , , ,39, ,3.9, ,38, ,3.1, ,36, ,2.2, , 89, , 5, ,130, , , ,29.55, , , , , ,30.00, ,AA, , , ,30.00, 
14771,20110101,0254,11,FEW042 OVC055, ,10.00, , , ,44, ,6.7, ,42, ,5.6, ,40, ,4.4, , 86, , 5, ,180, , , ,29.56, , , , , ,30.00, ,AA, , , ,30.01, 
14771,20110101,0354,11,BKN060 OVC080, ,10.00, , , ,44, ,6.7, ,42, ,5.4, ,39, ,3.9, , 83, , 5, ,130, , , ,29.55, ,0, ,003, ,29.99, ,AA, , , ,30.00, 
14771,20110101,0454,11,BKN055 OVC070, ,10.00, , , ,43, ,6.1, ,41, ,4.8, ,38, ,3.3, , 83, , 6, ,110, , , ,29.54, , , , , ,29.99, ,AA, , , ,29.99, 
14771,20110101,0554,11,FEW047 OVC065, ,10.00, , , ,42, ,5.6, ,40, ,4.5, ,38, ,3.3, , 86, , 7, ,110, , , ,29.53, , , , , ,29.98, ,AA, , , ,29.98, 
14771,20110101,0654,11,BKN047 OVC055, ,10.00, , , ,41, ,5.0, ,39, ,4.0, ,37, ,2.8, , 86, , 6, ,100, , , ,29.52, ,8, ,009, ,29.97, ,AA, , , ,29.97, 
14771,20110101,0754,11,BKN065 BKN140, , 9.00, , , ,42, ,5.6, ,40, ,4.5, ,38, ,3.3, , 86, , 7, ,100, , , ,29.51, , , , , ,29.96, ,AA, , , ,29.96, 
14771,20110101,0854,11,FEW065 OVC150, ,10.00, , , ,43, ,6.1, ,41, ,4.8, ,38, ,3.3, , 83, , 6, ,100, , , ,29.52, , , , , ,29.96, ,AA, , , ,29.97, 
14771,20110101,0954,11,SCT080 OVC160, ,10.00, , , ,45, ,7.2, ,42, ,5.4, ,38, ,3.3, , 77, , 8, ,130, , , ,29.51, ,8, ,004, ,29.95, ,AA, , , ,29.96, 
