yr,country,yield
1961,mx,16758
1962,mx,19462
1963,mx,20788
1964,mx,26921
1965,mx,25054
1966,mx,22542
1967,mx,27266
1968,mx,26316
1969,mx,27649
1970,mx,30202
1971,mx,29809
1972,mx,26344
1973,mx,32646
1974,mx,36022
1975,mx,35955
1976,mx,37614
1977,mx,34643
1978,mx,36663
1979,mx,39137
1980,mx,38476
1981,mx,37140
1982,mx,43563
1983,mx,40409
1984,mx,43577
1985,mx,42842
1986,mx,39671
1987,mx,44685
1988,mx,40154
1989,mx,38234
1990,mx,42142
1991,mx,41272
1992,mx,39530
1993,mx,40821
1994,mx,43033
1995,mx,37319
1996,mx,41705
1997,mx,47346
1998,mx,42077
1999,mx,46310
2000,mx,49355
2001,mx,47660
2002,mx,50998
2003,mx,44911
2004,mx,44871
2005,mx,47516
2006,mx,52274
2007,mx,49833
1961,us,16070
1962,us,16808
1963,us,16949
1964,us,17344
1965,us,17852
1966,us,17688
1967,us,17375
1968,us,19115
1969,us,20579
1970,us,20865
1971,us,22828
1972,us,21983
1973,us,21248
1974,us,18333
1975,us,20581
1976,us,20374
1977,us,20629
1978,us,21135
1979,us,22979
1980,us,22512
1981,us,23228
1982,us,23858
1983,us,26509
1984,us,26072
1985,us,25196
1986,us,23167
1987,us,25329
1988,us,22912
1989,us,22024
1990,us,26566
1991,us,23037
1992,us,26432
1993,us,25699
1994,us,25270
1995,us,24064
1996,us,24388
1997,us,26574
1998,us,29033
1999,us,28725
2000,us,28256
2001,us,27019
2002,us,23568
2003,us,29716
2004,us,29029
2005,us,28241
2006,us,26032
2007,us,25966

